"Date";"Field";"Treatment";"Ganguil";"Taxa";"Stage";"Abundance"
2025-06-27;"5";"FC";"A";"Pelophylax perezi";"RENAC";5
2025-06-27;"5";"FC";"A";"Epidalea calamita";"AD";1
2025-06-27;"5";"FC";"B";"Procambarus clarkii";"AD";1
2025-06-27;"5";"FC";"B";"Procambarus clarkii";"JUV";2
2025-06-27;"5";"FC";"B";"Procambarus clarkii";"ALEV";17
2025-06-27;"5";"FC";"B";"Epidalea calamita";"AD";1
2025-06-27;"5";"FC";"B";"Epidalea calamita";"RENAC";1
2025-06-27;"5";"FC";"B";"Pelophylax perezi";"AD";2
2025-06-27;"5";"BE";"A";"Procambarus clarkii";"JUV";11
2025-06-27;"5";"BE";"A";"Procambarus clarkii";"ALEV";9
2025-06-27;"5";"BE";"A";"Pelophylax perezi";"RENAC";6
2025-06-27;"5";"BE";"B";"Procambarus clarkii";"JUV";5
2025-06-27;"5";"BE";"B";"Procambarus clarkii";"ALEV";16
2025-06-27;"5";"BE";"B";"Pelophylax perezi";"RENAC";3
2025-06-27;"5";"FE";"A";"Procambarus clarkii";"AD";1
2025-06-27;"5";"FE";"A";"Procambarus clarkii";"ALEV";1
2025-06-27;"5";"FE";"A";"Mugil sp";"AD";1
2025-06-27;"5";"FE";"A";"Pelophylax perezi";"RENAC";5
2025-06-27;"5";"FE";"B";"Procambarus clarkii";"JUV";4
2025-06-27;"5";"FE";"B";"Procambarus clarkii";"ALEV";12
2025-06-27;"5";"FE";"B";"Pelophylax perezi";"RENAC";1
2025-06-27;"5";"FO";"A";"Carassius sp";"AD";1
2025-06-27;"5";"FO";"A";"Procambarus clarkii";"ALEV";5
2025-06-27;"5";"FO";"A";"Pelophylax perezi";"RENAC";2
2025-06-27;"5";"FO";"B";"Procambarus clarkii";"AD";2
2025-06-27;"5";"FO";"B";"Gobio lozanoi";"AD";2
2025-06-27;"5";"FO";"B";"Procambarus clarkii";"ALEV";12
2025-06-27;"5";"FO";"B";"Pelophylax perezi";"RENAC";2
2025-06-27;"5";"FO";"B";"Pseudorasbora sp";"AD";1
2025-07-08;"1";"FO";"B";"Procambarus clarkii";"AD";1
2025-07-08;"1";"FO";"B";"Procambarus clarkii";"JUV";1
2025-07-08;"1";"FO";"B";"Pelophylax perezi";"AD";1
2025-07-08;"1";"FC";"A";"Pelophylax perezi";"AD";1
2025-07-08;"1";"FC";"A";"Procambarus clarkii";"JUV";1
2025-07-08;"1";"FC";"B";"Procambarus clarkii";"ALEV";3
2025-07-08;"1";"BE";"A";"Procambarus clarkii";"AD";1
2025-07-08;"1";"FE";"A";"Procambarus clarkii";"JUV";1
2025-07-08;"1";"FE";"A";"Procambarus clarkii";"ALEV";2
2025-07-08;"1";"FE";"A";"Misgurnus anguillicaudatus";"AD";1
2025-07-08;"2";"FE";"B";"Pelophylax perezi";"AD";1
2025-07-08;"2";"FE";"B";"Alburnus alburnus";"AD";1
2025-07-08;"2";"FC";"A";"Procambarus clarkii";"ALEV";1
2025-07-08;"2";"FC";"B";"Pelophylax perezi";"RENAC";6
2025-07-08;"2";"FC";"B";"Procambarus clarkii";"ALEV";1
2025-07-08;"2";"BE";"A";"Procambarus clarkii";"AD";1
2025-07-08;"2";"BE";"A";"Pseudorasbora sp";"AD";1
2025-07-08;"2";"BE";"B";"Procambarus clarkii";"JUV";1
2025-07-08;"2";"BE";"B";"Pelophylax perezi";"RENAC";2
2025-07-08;"2";"BE";"B";"Procambarus clarkii";"ALEV";2
2025-07-08;"2";"FO";"A";"Carassius sp";"AD";1
2025-07-08;"2";"FO";"A";"Misgurnus anguillicaudatus";"AD";1
2025-07-08;"2";"FO";"A";"Procambarus clarkii";"ALEV";2
2025-07-08;"2";"FO";"B";"Misgurnus anguillicaudatus";"AD";1
2025-07-08;"3";"FC";"A";"Pelophylax perezi";"RENAC";2
2025-07-08;"3";"FC";"A";"Procambarus clarkii";"ALEV";4
2025-07-08;"3";"FC";"B";"Pelophylax perezi";"RENAC";5
2025-07-08;"3";"FC";"B";"Procambarus clarkii";"ALEV";2
2025-07-08;"3";"BE";"A";"Procambarus clarkii";"ALEV";3
2025-07-08;"3";"BE";"A";"Pelophylax perezi";"RENAC";3
2025-07-08;"3";"BE";"A";"Pelophylax perezi";"AD";1
2025-07-08;"3";"BE";"B";"Pelophylax perezi";"RENAC";1
2025-07-08;"3";"FE";"A";"Pelophylax perezi";"RENAC";1
2025-07-08;"3";"FE";"A";"Procambarus clarkii";"ALEV";2
2025-07-08;"3";"FE";"B";"Procambarus clarkii";"ALEV";3
2025-07-08;"3";"FO";"A";"Pelophylax perezi";"RENAC";1
2025-07-08;"3";"FO";"A";"Procambarus clarkii";"ALEV";1
2025-07-08;"3";"FO";"B";"Pelophylax perezi";"AD";1
2025-07-09;"4";"FO";"B";"Alburnus alburnus";"AD";1
2025-07-09;"4";"BE";"B";"Carassius sp";"AD";1
2025-07-09;"4";"FE";"A";"Alburnus alburnus";"AD";1
2025-07-09;"5";"FC";"A";"Procambarus clarkii";"AD";1
2025-07-09;"5";"FC";"B";"Procambarus clarkii";"JUV";1
2025-07-09;"5";"FC";"B";"Procambarus clarkii";"ALEV";1
2025-07-09;"5";"BE";"A";"Pelophylax perezi";"AD";1
2025-07-09;"5";"BE";"B";"Procambarus clarkii";"JUV";1
2025-07-09;"5";"BE";"B";"Procambarus clarkii";"ALEV";2
2025-07-09;"5";"FE";"A";"Procambarus clarkii";"JUV";1
2025-07-09;"5";"FO";"A";"Procambarus clarkii";"AD";1
2025-07-09;"5";"FO";"B";"Procambarus clarkii";"AD";1
2025-07-09;"5";"FO";"B";"Procambarus clarkii";"JUV";1
2025-07-22;"1";"FO";"A";"Procambarus clarkii";"JUV";1
2025-07-22;"1";"FO";"B";"Pelophylax perezi";"AD";2
2025-07-22;"1";"FC";"A";"Pelophylax perezi";"AD";2
2025-07-22;"1";"FC";"A";"Procambarus clarkii";"JUV";1
2025-07-22;"1";"FC";"B";"Procambarus clarkii";"JUV";1
2025-07-22;"1";"FC";"B";"Pelophylax perezi";"RENAC";1
2025-07-22;"1";"BE";"A";"Procambarus clarkii";"ALEV";1
2025-07-22;"1";"BE";"B";"Procambarus clarkii";"ALEV";1
2025-07-22;"1";"FE";"A";"Procambarus clarkii";"ALEV";1
2025-07-22;"1";"FE";"B";"Procambarus clarkii";"ALEV";1
2025-07-22;"2";"FE";"A";"Misgurnus anguillicaudatus";"AD";1
2025-07-22;"2";"FE";"A";"Procambarus clarkii";"ALEV";2
2025-07-22;"2";"FE";"B";"Pelophylax perezi";"AD";1
2025-07-22;"2";"FE";"B";"Pelophylax perezi";"RENAC";2
2025-07-22;"2";"FC";"A";"Procambarus clarkii";"AD";1
2025-07-22;"2";"FC";"B";"Pelophylax perezi";"AD";1
2025-07-22;"2";"FC";"B";"Pelophylax perezi";"RENAC";5
2025-07-22;"2";"BE";"A";"Misgurnus anguillicaudatus";"AD";2
2025-07-22;"2";"BE";"A";"Procambarus clarkii";"ALEV";1
2025-07-22;"2";"BE";"A";"Pelophylax perezi";"RENAC";2
2025-07-22;"2";"BE";"B";"Misgurnus anguillicaudatus";"AD";1
2025-07-22;"2";"BE";"B";"Procambarus clarkii";"AD";1
2025-07-22;"2";"BE";"B";"Pelophylax perezi";"AD";1
2025-07-22;"2";"BE";"B";"Pelophylax perezi";"RENAC";5
2025-07-22;"2";"FO";"A";"Misgurnus anguillicaudatus";"AD";2
2025-07-22;"2";"FO";"B";"Misgurnus anguillicaudatus";"AD";2
2025-07-22;"2";"FO";"B";"Pelophylax perezi";"RENAC";1
2025-07-22;"2";"FO";"B";"Procambarus clarkii";"AD";1
2025-07-22;"3";"FC";"A";"Procambarus clarkii";"ALEV";2
2025-07-22;"3";"BE";"A";"Pelophylax perezi";"AD";1
2025-07-22;"3";"BE";"A";"Pelophylax perezi";"RENAC";1
2025-07-22;"3";"BE";"A";"Procambarus clarkii";"ALEV";2
2025-07-22;"3";"BE";"B";"Procambarus clarkii";"ALEV";3
2025-07-22;"3";"BE";"B";"Procambarus clarkii";"JUV";1
2025-07-22;"3";"BE";"B";"Pelophylax perezi";"RENAC";1
2025-07-22;"3";"BE";"B";"Misgurnus anguillicaudatus";"AD";5
2025-07-22;"3";"FE";"A";"Misgurnus anguillicaudatus";"AD";1
2025-07-22;"3";"FE";"A";"Procambarus clarkii";"ALEV";1
2025-07-22;"3";"FE";"B";"Pelophylax perezi";"RENAC";2
2025-07-22;"3";"FO";"A";"Procambarus clarkii";"ALEV";1
2025-07-22;"3";"FO";"A";"Misgurnus anguillicaudatus";"AD";1
2025-07-22;"3";"FO";"A";"Pelophylax perezi";"RENAC";1
2025-07-22;"3";"FO";"B";"Misgurnus anguillicaudatus";"AD";8
2025-07-22;"3";"FO";"B";"Pelophylax perezi";"AD";1
2025-07-23;"4";"FO";"B";"Procambarus clarkii";"AD";1
2025-07-23;"4";"FO";"B";"Procambarus clarkii";"ALEV";1
2025-07-23;"4";"FC";"A";"Procambarus clarkii";"ALEV";3
2025-07-23;"4";"FC";"B";"Procambarus clarkii";"ALEV";1
2025-07-23;"4";"BE";"A";"Procambarus clarkii";"ALEV";3
2025-07-23;"4";"BE";"B";"Pelophylax perezi";"AD";1
2025-07-23;"4";"FE";"A";"Procambarus clarkii";"ALEV";4
2025-07-23;"4";"FE";"B";"Misgurnus anguillicaudatus";"AD";1
2025-07-23;"4";"FE";"B";"Procambarus clarkii";"ALEV";1
2025-07-23;"5";"FC";"A";"Procambarus clarkii";"AD";6
2025-07-23;"5";"FC";"A";"Misgurnus anguillicaudatus";"AD";1
2025-07-23;"5";"FC";"A";"Procambarus clarkii";"ALEV";1
2025-07-23;"5";"FC";"B";"Procambarus clarkii";"AD";3
2025-07-23;"5";"FC";"B";"Procambarus clarkii";"JUV";2
2025-07-23;"5";"FC";"B";"Procambarus clarkii";"ALEV";1
2025-07-23;"5";"BE";"A";"Procambarus clarkii";"AD";2
2025-07-23;"5";"BE";"A";"Procambarus clarkii";"JUV";4
2025-07-23;"5";"BE";"A";"Procambarus clarkii";"ALEV";2
2025-07-23;"5";"BE";"B";"Procambarus clarkii";"AD";3
2025-07-23;"5";"BE";"B";"Procambarus clarkii";"JUV";1
2025-07-23;"5";"BE";"B";"Procambarus clarkii";"ALEV";2
2025-07-23;"5";"FE";"A";"Procambarus clarkii";"AD";9
2025-07-23;"5";"FE";"A";"Procambarus clarkii";"JUV";6
2025-07-23;"5";"FE";"A";"Procambarus clarkii";"ALEV";1
2025-07-23;"5";"FE";"B";"Procambarus clarkii";"AD";6
2025-07-23;"5";"FE";"B";"Procambarus clarkii";"JUV";10
2025-07-23;"5";"FE";"B";"Procambarus clarkii";"ALEV";4
2025-07-23;"5";"FO";"A";"Procambarus clarkii";"AD";3
2025-07-23;"5";"FO";"A";"Procambarus clarkii";"JUV";3
2025-07-23;"5";"FO";"A";"Procambarus clarkii";"ALEV";4
2025-07-23;"5";"FO";"B";"Procambarus clarkii";"AD";8
2025-07-23;"5";"FO";"B";"Procambarus clarkii";"JUV";10
2025-07-23;"5";"FO";"B";"Procambarus clarkii";"ALEV";5
2025-08-06;"1";"FC";"B";"Pelophylax perezi";"AD";1
2025-08-06;"1";"FC";"B";"Procambarus clarkii";"JUV";1
2025-08-06;"1";"BE";"A";"Pelophylax perezi";"AD";4
2025-08-06;"1";"BE";"A";"Pelophylax perezi";"RENAC";1
2025-08-06;"1";"BE";"B";"Pelophylax perezi";"RENAC";1
2025-08-06;"1";"FE";"A";"Procambarus clarkii";"JUV";1
2025-08-06;"2";"FE";"A";"Procambarus clarkii";"JUV";1
2025-08-06;"2";"FE";"A";"Misgurnus anguillicaudatus";"AD";1
2025-08-06;"2";"FE";"B";"Procambarus clarkii";"AD";1
2025-08-06;"2";"FE";"B";"Procambarus clarkii";"JUV";3
2025-08-06;"2";"FE";"B";"Misgurnus anguillicaudatus";"AD";1
2025-08-06;"2";"FE";"B";"Pelophylax perezi";"AD";1
2025-08-06;"2";"FC";"A";"Pelophylax perezi";"AD";1
2025-08-06;"2";"FC";"B";"Pelophylax perezi";"AD";1
2025-08-06;"2";"FC";"B";"Pelophylax perezi";"RENAC";2
2025-08-06;"2";"BE";"A";"Procambarus clarkii";"AD";1
2025-08-06;"2";"BE";"A";"Procambarus clarkii";"JUV";1
2025-08-06;"2";"BE";"A";"Misgurnus anguillicaudatus";"AD";1
2025-08-06;"2";"BE";"A";"Pelophylax perezi";"AD";1
2025-08-06;"2";"BE";"B";"Procambarus clarkii";"AD";1
2025-08-06;"2";"FO";"A";"Procambarus clarkii";"JUV";1
2025-08-06;"2";"FO";"B";"Procambarus clarkii";"AD";1
2025-08-06;"3";"FC";"A";"Procambarus clarkii";"JUV";2
2025-08-06;"3";"FC";"A";"Misgurnus anguillicaudatus";"AD";2
2025-08-06;"3";"FC";"B";"Pelophylax perezi";"RENAC";1
2025-08-06;"3";"BE";"A";"Procambarus clarkii";"JUV";1
2025-08-06;"3";"BE";"A";"Pelophylax perezi";"AD";1
2025-08-06;"3";"BE";"A";"Pelophylax perezi";"RENAC";3
2025-08-06;"3";"BE";"B";"Procambarus clarkii";"JUV";6
2025-08-06;"3";"BE";"B";"Misgurnus anguillicaudatus";"AD";3
2025-08-06;"3";"BE";"B";"Pelophylax perezi";"AD";1
2025-08-06;"3";"BE";"B";"Pelophylax perezi";"RENAC";4
2025-08-06;"3";"FE";"A";"Procambarus clarkii";"JUV";3
2025-08-06;"3";"FE";"A";"Procambarus clarkii";"ALEV";1
2025-08-06;"3";"FE";"A";"Misgurnus anguillicaudatus";"AD";3
2025-08-06;"3";"FE";"A";"Pelophylax perezi";"RENAC";1
2025-08-06;"3";"FE";"B";"Misgurnus anguillicaudatus";"AD";1
2025-08-06;"3";"FE";"B";"Procambarus clarkii";"JUV";1
2025-08-06;"3";"FE";"B";"Pelophylax perezi";"RENAC";3
2025-08-06;"3";"FO";"A";"Procambarus clarkii";"AD";1
2025-08-06;"3";"FO";"A";"Procambarus clarkii";"JUV";2
2025-08-06;"3";"FO";"B";"Procambarus clarkii";"AD";3
2025-08-06;"3";"FO";"B";"Procambarus clarkii";"JUV";4
2025-08-06;"3";"FO";"B";"Pelophylax perezi";"RENAC";1
2025-08-06;"4";"FO";"A";"Procambarus clarkii";"AD";1
2025-08-06;"4";"FO";"A";"Procambarus clarkii";"JUV";1
2025-08-06;"4";"FO";"A";"Procambarus clarkii";"ALEV";1
2025-08-06;"4";"FO";"B";"Procambarus clarkii";"AD";1
2025-08-06;"4";"FO";"B";"Procambarus clarkii";"JUV";1
2025-08-06;"4";"FC";"A";"Procambarus clarkii";"JUV";4
2025-08-06;"4";"FC";"A";"Procambarus clarkii";"ALEV";1
2025-08-06;"4";"FC";"B";"Procambarus clarkii";"JUV";3
2025-08-06;"4";"BE";"A";"Procambarus clarkii";"JUV";1
2025-08-06;"4";"BE";"B";"Procambarus clarkii";"JUV";2
2025-08-06;"4";"FE";"A";"Procambarus clarkii";"JUV";3
2025-08-06;"4";"FE";"B";"Procambarus clarkii";"JUV";1
2025-08-07;"5";"FC";"A";"Procambarus clarkii";"AD";1
2025-08-07;"5";"FC";"A";"Procambarus clarkii";"JUV";5
2025-08-07;"5";"FC";"A";"Procambarus clarkii";"ALEV";1
2025-08-07;"5";"FC";"B";"Procambarus clarkii";"AD";4
2025-08-07;"5";"FC";"B";"Procambarus clarkii";"JUV";3
2025-08-07;"5";"BE";"A";"Pelophylax perezi";"AD";1
2025-08-07;"5";"BE";"A";"Procambarus clarkii";"AD";2
2025-08-07;"5";"BE";"A";"Procambarus clarkii";"JUV";4
2025-08-07;"5";"BE";"A";"Procambarus clarkii";"ALEV";2
2025-08-07;"5";"BE";"B";"Procambarus clarkii";"AD";5
2025-08-07;"5";"BE";"B";"Procambarus clarkii";"JUV";1
2025-08-07;"5";"BE";"B";"Procambarus clarkii";"ALEV";3
2025-08-07;"5";"FE";"A";"Procambarus clarkii";"AD";2
2025-08-07;"5";"FE";"A";"Procambarus clarkii";"JUV";6
2025-08-07;"5";"FE";"B";"Procambarus clarkii";"AD";4
2025-08-07;"5";"FE";"B";"Procambarus clarkii";"JUV";3
2025-08-07;"5";"FE";"B";"Procambarus clarkii";"ALEV";1
2025-08-07;"5";"FO";"A";"Procambarus clarkii";"JUV";7
2025-08-07;"5";"FO";"B";"Procambarus clarkii";"AD";4
2025-08-19;"1";"FO";"B";"Pelophylax perezi";"RENAC";1
2025-08-19;"1";"FC";"A";"Procambarus clarkii";"AD";2
2025-08-19;"1";"FC";"B";"Procambarus clarkii";"JUV";3
2025-08-19;"1";"FC";"B";"Pelophylax perezi";"RENAC";1
2025-08-19;"1";"BE";"A";"Procambarus clarkii";"JUV";2
2025-08-19;"1";"BE";"A";"Pelophylax perezi";"RENAC";2
2025-08-19;"1";"BE";"B";"Pelophylax perezi";"RENAC";1
2025-08-19;"1";"FE";"B";"Pelophylax perezi";"AD";1
2025-08-19;"2";"FE";"A";"Procambarus clarkii";"AD";2
2025-08-19;"2";"FE";"A";"Procambarus clarkii";"JUV";1
2025-08-19;"2";"FE";"B";"Procambarus clarkii";"JUV";1
2025-08-19;"2";"FC";"A";"Procambarus clarkii";"AD";1
2025-08-19;"2";"FC";"A";"Procambarus clarkii";"JUV";5
2025-08-19;"2";"FC";"B";"Procambarus clarkii";"AD";2
2025-08-19;"2";"FC";"B";"Pelophylax perezi";"RENAC";1
2025-08-19;"2";"BE";"A";"Procambarus clarkii";"AD";3
2025-08-19;"2";"BE";"A";"Procambarus clarkii";"JUV";3
2025-08-19;"2";"BE";"B";"Pelophylax perezi";"AD";1
2025-08-19;"2";"BE";"B";"Pelophylax perezi";"RENAC";1
2025-08-19;"2";"FO";"A";"Procambarus clarkii";"JUV";1
2025-08-19;"2";"FO";"B";"Procambarus clarkii";"AD";1
2025-08-19;"3";"FC";"A";"Procambarus clarkii";"AD";1
2025-08-19;"3";"FC";"A";"Procambarus clarkii";"JUV";1
2025-08-19;"3";"FC";"A";"Procambarus clarkii";"ALEV";3
2025-08-19;"3";"FC";"B";"Pelophylax perezi";"RENAC";1
2025-08-19;"3";"FC";"B";"Procambarus clarkii";"JUV";6
2025-08-19;"3";"BE";"A";"Procambarus clarkii";"AD";3
2025-08-19;"3";"BE";"A";"Procambarus clarkii";"JUV";3
2025-08-19;"3";"BE";"B";"Pelophylax perezi";"AD";1
2025-08-19;"3";"BE";"B";"Pelophylax perezi";"RENAC";1
2025-08-19;"3";"BE";"B";"Procambarus clarkii";"AD";3
2025-08-19;"3";"BE";"B";"Procambarus clarkii";"JUV";3
2025-08-19;"3";"FE";"A";"Procambarus clarkii";"AD";2
2025-08-19;"3";"FE";"A";"Procambarus clarkii";"JUV";5
2025-08-19;"3";"FE";"A";"Misgurnus anguillicaudatus";"AD";1
2025-08-19;"3";"FE";"B";"Procambarus clarkii";"JUV";3
2025-08-19;"3";"FO";"A";"Procambarus clarkii";"JUV";4
2025-08-19;"3";"FO";"A";"Misgurnus anguillicaudatus";"AD";1
2025-08-19;"3";"FO";"B";"Procambarus clarkii";"AD";2
2025-08-19;"3";"FO";"B";"Procambarus clarkii";"JUV";6
2025-08-20;"4";"FO";"A";"Pelophylax perezi";"AD";3
2025-08-20;"4";"FO";"B";"Pelophylax perezi";"AD";1
2025-08-20;"4";"FO";"B";"Procambarus clarkii";"JUV";1
2025-08-20;"4";"FO";"B";"Procambarus clarkii";"ALEV";1
2025-08-20;"4";"FC";"A";"Procambarus clarkii";"ALEV";1
2025-08-20;"4";"FC";"A";"Procambarus clarkii";"JUV";2
2025-08-20;"4";"FC";"B";"Procambarus clarkii";"AD";1
2025-08-20;"4";"FC";"B";"Procambarus clarkii";"JUV";2
2025-08-20;"4";"FC";"B";"Procambarus clarkii";"ALEV";3
2025-08-20;"4";"BE";"A";"Procambarus clarkii";"JUV";1
2025-08-20;"4";"FE";"A";"Procambarus clarkii";"AD";1
2025-08-20;"4";"FE";"A";"Procambarus clarkii";"JUV";5
2025-08-20;"4";"FE";"A";"Procambarus clarkii";"ALEV";1
2025-08-20;"4";"FE";"B";"Procambarus clarkii";"AD";4
2025-08-20;"5";"FC";"A";"Procambarus clarkii";"AD";6
2025-08-20;"5";"FC";"A";"Procambarus clarkii";"JUV";8
2025-08-20;"5";"FC";"A";"Procambarus clarkii";"ALEV";1
2025-08-20;"5";"FC";"B";"Procambarus clarkii";"AD";6
2025-08-20;"5";"FC";"B";"Procambarus clarkii";"JUV";8
2025-08-20;"5";"FC";"B";"Procambarus clarkii";"ALEV";3
