Date;Field;Treatment;Repeat;Leaves_dmg_10leaves;Marks_5leaves;Observations
2025-06-11;1;FO;1;4;15;
2025-06-11;1;FO;2;1;18;
2025-06-11;1;FO;3;6;16;
2025-06-11;1;FO;4;7;15;
2025-06-11;1;FO;5;8;20;
2025-06-11;1;FO;6;4;10;
2025-06-11;1;BE;1;8;18;
2025-06-11;1;BE;2;5;14;
2025-06-11;1;BE;3;6;24;
2025-06-11;1;BE;4;8;19;
2025-06-11;1;BE;5;5;1;
2025-06-11;1;BE;6;2;20;
2025-06-11;1;FC;1;7;15;
2025-06-11;1;FC;2;5;14;
2025-06-11;1;FC;3;5;12;
2025-06-11;1;FC;4;6;8;
2025-06-11;1;FC;5;2;6;
2025-06-11;1;FC;6;2;6;
2025-06-11;1;FO;1;8;11;
2025-06-11;1;FO;2;4;12;
2025-06-11;1;FO;3;4;8;
2025-06-11;1;FO;4;5;9;
2025-06-11;1;FO;5;5;7;
2025-06-11;1;FO;6;8;6;
2025-06-11;2;FE;1;2;4;
2025-06-11;2;FE;2;0;0;
2025-06-11;2;FE;3;3;4;
2025-06-11;2;FE;4;3;5;
2025-06-11;2;FE;5;2;10;
2025-06-11;2;FE;6;2;6;
2025-06-11;2;FC;1;2;3;
2025-06-11;2;FC;2;2;4;
2025-06-11;2;FC;3;1;1;
2025-06-11;2;FC;4;4;6;
2025-06-11;2;FC;5;4;5;
2025-06-11;2;FC;6;2;5;
2025-06-11;2;BE;1;0;0;
2025-06-11;2;BE;2;1;2;
2025-06-11;2;BE;3;4;4;
2025-06-11;2;BE;4;2;4;
2025-06-11;2;BE;5;1;3;
2025-06-11;2;BE;6;1;4;
2025-06-11;2;FO;1;3;9;
2025-06-11;2;FO;2;3;0;
2025-06-11;2;FO;3;2;3;
2025-06-11;2;FO;4;3;12;
2025-06-11;2;FO;5;2;5;
2025-06-11;2;FO;6;0;0;
2025-06-11;3;FC;1;9;12;
2025-06-11;3;FC;2;8;15;
2025-06-11;3;FC;3;5;8;
2025-06-11;3;FC;4;5;12;
2025-06-11;3;FC;5;4;8;
2025-06-11;3;FC;6;5;16;
2025-06-11;3;BE;1;7;10;
2025-06-11;3;BE;2;6;25;
2025-06-11;3;BE;3;8;6;
2025-06-11;3;BE;4;6;7;
2025-06-11;3;BE;5;7;2;
2025-06-11;3;BE;6;7;10;
2025-06-11;3;FE;1;4;19;
2025-06-11;3;FE;2;8;14;
2025-06-11;3;FE;3;6;15;
2025-06-11;3;FE;4;2;15;
2025-06-11;3;FE;5;5;5;
2025-06-11;3;FE;6;6;14;
2025-06-11;3;FO;1;7;17;
2025-06-11;3;FO;2;3;6;
2025-06-11;3;FO;3;3;0;
2025-06-11;3;FO;4;5;9;
2025-06-11;3;FO;5;6;13;
2025-06-11;3;FO;6;6;18;
2025-06-13;4;FO;1;4;6;
2025-06-13;4;FO;2;7;8;
2025-06-13;4;FO;3;6;14;
2025-06-13;4;FO;4;1;6;
2025-06-13;4;FO;5;2;5;
2025-06-13;4;FO;6;3;4;
2025-06-13;4;FC;1;2;7;
2025-06-13;4;FC;2;2;15;
2025-06-13;4;FC;3;4;11;
2025-06-13;4;FC;4;3;3;
2025-06-13;4;FC;5;1;0;
2025-06-13;4;FC;6;2;2;
2025-06-13;4;BE;1;2;1;
2025-06-13;4;BE;2;4;11;
2025-06-13;4;BE;3;6;16;
2025-06-13;4;BE;4;5;4;
2025-06-13;4;BE;5;1;5;
2025-06-13;4;BE;6;4;5;
2025-06-13;4;FE;1;3;1;
2025-06-13;4;FE;2;6;2;
2025-06-13;4;FE;3;4;10;
2025-06-13;4;FE;4;5;9;
2025-06-13;4;FE;5;3;6;
2025-06-13;4;FE;6;6;7;
2025-06-11;5;BE;1;7;8;
2025-06-11;5;BE;2;5;4;
2025-06-11;5;BE;3;8;13;
2025-06-11;5;BE;4;5;8;
2025-06-11;5;BE;5;4;9;
2025-06-11;5;BE;6;4;9;
2025-06-11;5;FC;1;5;10;
2025-06-11;5;FC;2;7;9;
2025-06-11;5;FC;3;4;12;
2025-06-11;5;FC;4;3;12;
2025-06-11;5;FC;5;5;2;
2025-06-11;5;FC;6;6;20;
2025-06-11;5;FE;1;7;15;
2025-06-11;5;FE;2;6;6;
2025-06-11;5;FE;3;7;11;
2025-06-11;5;FE;4;5;6;
2025-06-11;5;FE;5;5;10;
2025-06-11;5;FE;6;5;10;
2025-06-11;5;FO;1;4;6;
2025-06-11;5;FO;2;4;5;
2025-06-11;5;FO;3;8;7;
2025-06-11;5;FO;4;6;11;
2025-06-11;5;FO;5;1;1;
2025-06-11;5;FO;6;6;15;
2025-06-23;1;FE;1;7;12;Estadio fenologico: 23 (3 tillers) en toda esta fecha
2025-06-23;1;FE;2;2;14;
2025-06-23;1;FE;3;1;3;
2025-06-23;1;FE;4;2;5;
2025-06-23;1;FE;5;2;8;
2025-06-23;1;FE;6;1;3;
2025-06-23;1;BE;1;1;1;
2025-06-23;1;BE;2;4;16;
2025-06-23;1;BE;3;4;12;
2025-06-23;1;BE;4;1;9;
2025-06-23;1;BE;5;0;0;
2025-06-23;1;BE;6;1;1;
2025-06-23;1;FC;1;3;6;
2025-06-23;1;FC;2;4;6;
2025-06-23;1;FC;3;6;13;
2025-06-23;1;FC;4;2;5;
2025-06-23;1;FC;5;0;0;
2025-06-23;1;FC;6;1;3;
2025-06-23;1;FO;1;2;3;
2025-06-23;1;FO;2;0;0;
2025-06-23;1;FO;3;1;2;
2025-06-23;1;FO;4;3;5;
2025-06-23;1;FO;5;5;5;
2025-06-23;1;FO;6;1;1;
2025-06-23;2;FE;1;1;1;
2025-06-23;2;FE;2;1;3;
2025-06-23;2;FE;3;0;0;
2025-06-23;2;FE;4;1;4;
2025-06-23;2;FE;5;0;0;
2025-06-23;2;FE;6;0;0;
2025-06-23;2;FC;1;1;3;
2025-06-23;2;FC;2;1;2;
2025-06-23;2;FC;3;0;0;
2025-06-23;2;FC;4;0;0;
2025-06-23;2;FC;5;0;0;
2025-06-23;2;FC;6;0;0;
2025-06-23;2;BE;1;0;0;
2025-06-23;2;BE;2;1;1;
2025-06-23;2;BE;3;2;12;
2025-06-23;2;BE;4;0;0;
2025-06-23;2;BE;5;1;3;
2025-06-23;2;BE;6;0;0;
2025-06-23;2;FO;1;2;3;
2025-06-23;2;FO;2;0;0;
2025-06-23;2;FO;3;0;0;
2025-06-23;2;FO;4;0;0;
2025-06-23;2;FO;5;1;1;
2025-06-23;2;FO;6;0;0;
2025-06-23;3;FC;1;2;2;
2025-06-23;3;FC;2;1;1;
2025-06-23;3;FC;3;5;13;
2025-06-23;3;FC;4;4;14;
2025-06-23;3;FC;5;1;3;
2025-06-23;3;FC;6;0;0;
2025-06-23;3;BE;1;1;2;
2025-06-23;3;BE;2;5;8;
2025-06-23;3;BE;3;8;13;
2025-06-23;3;BE;4;2;7;
2025-06-23;3;BE;5;2;6;
2025-06-23;3;BE;6;1;2;
2025-06-23;3;FE;1;0;0;
2025-06-23;3;FE;2;4;5;
2025-06-23;3;FE;3;1;1;
2025-06-23;3;FE;4;1;4;
2025-06-23;3;FE;5;2;6;
2025-06-23;3;FE;6;0;0;
2025-06-23;3;FO;1;2;11;
2025-06-23;3;FO;2;0;0;
2025-06-23;3;FO;3;1;1;
2025-06-23;3;FO;4;2;4;
2025-06-23;3;FO;5;3;6;
2025-06-23;3;FO;6;2;5;
2025-06-23;4;FO;1;2;3;
2025-06-23;4;FO;2;1;1;
2025-06-23;4;FO;3;3;8;
2025-06-23;4;FO;4;2;3;
2025-06-23;4;FO;5;5;14;
2025-06-23;4;FO;6;1;2;
2025-06-23;4;FC;1;1;4;
2025-06-23;4;FC;2;2;5;
2025-06-23;4;FC;3;4;4;
2025-06-23;4;FC;4;0;0;
2025-06-23;4;FC;5;3;3;
2025-06-23;4;FC;6;6;10;
2025-06-23;4;BE;1;0;0;
2025-06-23;4;BE;2;2;5;
2025-06-23;4;BE;3;0;0;
2025-06-23;4;BE;4;2;4;
2025-06-23;4;BE;5;1;3;
2025-06-23;4;BE;6;5;16;
2025-06-23;4;FE;1;2;10;
2025-06-23;4;FE;2;2;2;
2025-06-23;4;FE;3;1;1;
2025-06-23;4;FE;4;0;0;
2025-06-23;4;FE;5;4;10;
2025-06-23;4;FE;6;3;10;
2025-06-23;5;BE;1;2;6;
2025-06-23;5;BE;2;3;4;
2025-06-23;5;BE;3;3;4;
2025-06-23;5;BE;4;0;0;
2025-06-23;5;BE;5;2;1;
2025-06-23;5;BE;6;3;6;
2025-06-23;5;FC;1;5;12;
2025-06-23;5;FC;2;4;13;
2025-06-23;5;FC;3;1;1;
2025-06-23;5;FC;4;0;0;
2025-06-23;5;FC;5;3;2;
2025-06-23;5;FC;6;3;4;
2025-06-23;5;FE;1;0;0;
2025-06-23;5;FE;2;0;0;
2025-06-23;5;FE;3;6;9;
2025-06-23;5;FE;4;3;8;
2025-06-23;5;FE;5;4;8;
2025-06-23;5;FE;6;4;8;
2025-06-23;5;FO;1;0;0;
2025-06-23;5;FO;2;5;7;
2025-06-23;5;FO;3;5;6;
2025-06-23;5;FO;4;6;14;
2025-06-23;5;FO;5;1;4;
2025-06-23;5;FO;6;2;0;
2025-07-16;1;FE;1;6;27;No me queda claro si esta en el orden correcto en el cuaderno. Hay un corchete
2025-07-16;1;FE;2;10;36;Estadio fenologico: 28 (8 tillers) en toda esta fecha
2025-07-16;1;FE;3;7;18;
2025-07-16;1;FE;4;7;26;
2025-07-16;1;FE;5;8;15;
2025-07-16;1;FE;6;7;11;
2025-07-16;1;BE;1;6;11;
2025-07-16;1;BE;2;9;48;
2025-07-16;1;BE;3;7;35;
2025-07-16;1;BE;4;8;22;
2025-07-16;1;BE;5;4;12;
2025-07-16;1;BE;6;5;9;
2025-07-16;1;FC;1;7;39;
2025-07-16;1;FC;2;7;17;
2025-07-16;1;FC;3;8;27;
2025-07-16;1;FC;4;4;8;
2025-07-16;1;FC;5;3;9;
2025-07-16;1;FC;6;5;23;
2025-07-16;1;FO;1;8;23;
2025-07-16;1;FO;2;5;20;
2025-07-16;1;FO;3;4;6;
2025-07-16;1;FO;4;7;18;
2025-07-16;1;FO;5;1;21;
2025-07-16;1;FO;6;4;12;
2025-07-16;2;FE;1;8;8;
2025-07-16;2;FE;2;3;7;
2025-07-16;2;FE;3;7;10;
2025-07-16;2;FE;4;5;20;
2025-07-16;2;FE;5;3;8;
2025-07-16;2;FE;6;4;18;
2025-07-16;2;FC;1;7;20;
2025-07-16;2;FC;2;2;16;
2025-07-16;2;FC;3;4;1;
2025-07-16;2;FC;4;5;7;
2025-07-16;2;FC;5;3;24;
2025-07-16;2;FC;6;2;19;
2025-07-16;2;BE;1;8;6;
2025-07-16;2;BE;2;4;6;
2025-07-16;2;BE;3;9;15;
2025-07-16;2;BE;4;2;4;
2025-07-16;2;BE;5;8;11;
2025-07-16;2;BE;6;4;15;
2025-07-16;2;FO;1;6;3;
2025-07-16;2;FO;2;3;5;
2025-07-16;2;FO;3;2;6;
2025-07-16;2;FO;4;6;26;
2025-07-16;2;FO;5;5;23;
2025-07-16;2;FO;6;6;18;
2025-07-16;3;FC;1;6;29;
2025-07-16;3;FC;2;8;18;
2025-07-16;3;FC;3;6;33;
2025-07-16;3;FC;4;6;16;
2025-07-16;3;FC;5;7;13;
2025-07-16;3;FC;6;8;22;
2025-07-16;3;BE;1;8;64;
2025-07-16;3;BE;2;9;73;
2025-07-16;3;BE;3;9;34;
2025-07-16;3;BE;4;7;23;
2025-07-16;3;BE;5;7;21;
2025-07-16;3;BE;6;8;18;
2025-07-16;3;FE;1;10;43;
2025-07-16;3;FE;2;9;45;
2025-07-16;3;FE;3;7;32;
2025-07-16;3;FE;4;7;58;
2025-07-16;3;FE;5;9;53;
2025-07-16;3;FE;6;7;15;
2025-07-16;3;FO;1;10;61;
2025-07-16;3;FO;2;10;88;
2025-07-16;3;FO;3;7;24;
2025-07-16;3;FO;4;10;37;
2025-07-16;3;FO;5;10;34;
2025-07-16;3;FO;6;6;19;
2025-07-16;4;FO;1;1;16;
2025-07-16;4;FO;2;3;5;
2025-07-16;4;FO;3;1;2;
2025-07-16;4;FO;4;3;10;
2025-07-16;4;FO;5;5;24;
2025-07-16;4;FO;6;4;22;
2025-07-16;4;FC;1;3;12;
2025-07-16;4;FC;2;5;31;
2025-07-16;4;FC;3;2;4;
2025-07-16;4;FC;4;5;36;
2025-07-16;4;FC;5;4;13;
2025-07-16;4;FC;6;5;30;
2025-07-16;4;BE;1;2;4;
2025-07-16;4;BE;2;2;7;
2025-07-16;4;BE;3;5;7;
2025-07-16;4;BE;4;0;0;
2025-07-16;4;BE;5;4;5;
2025-07-16;4;BE;6;5;23;
2025-07-16;4;FE;1;2;0;
2025-07-16;4;FE;2;1;4;
2025-07-16;4;FE;3;2;16;
2025-07-16;4;FE;4;4;19;
2025-07-16;4;FE;5;3;8;
2025-07-16;4;FE;6;4;17;
2025-07-16;5;BE;1;1;4;
2025-07-16;5;BE;2;7;12;
2025-07-16;5;BE;3;3;8;
2025-07-16;5;BE;4;2;3;
2025-07-16;5;BE;5;3;7;
2025-07-16;5;BE;6;3;10;
2025-07-16;5;FC;1;1;3;
2025-07-16;5;FC;2;2;6;
2025-07-16;5;FC;3;2;3;
2025-07-16;5;FC;4;4;21;
2025-07-16;5;FC;5;3;8;
2025-07-16;5;FC;6;2;13;
2025-07-16;5;FE;1;5;5;
2025-07-16;5;FE;2;8;21;
2025-07-16;5;FE;3;3;6;
2025-07-16;5;FE;4;2;8;
2025-07-16;5;FE;5;5;6;
2025-07-16;5;FE;6;4;6;
2025-07-16;5;FO;1;5;15;
2025-07-16;5;FO;2;3;12;
2025-07-16;5;FO;3;6;8;
2025-07-16;5;FO;4;4;12;
2025-07-16;5;FO;5;4;7;
2025-07-16;5;FO;6;4;13;
