Date;Field;Treatment;Repeat;Abundance;Method;Observations
2025-06-11;3;FO;1;0;Core;
2025-06-11;3;FO;2;5;Core;
2025-06-11;3;FO;3;1;Core;
2025-06-11;3;FO;4;0;Core;
2025-06-11;3;FO;5;0;Core;
2025-06-12;4;FO;1;0;Core;
2025-06-12;4;FO;2;0;Core;
2025-06-12;4;FO;3;0;Core;
2025-06-12;4;FO;4;1;Core;
2025-06-12;4;FO;5;0;Core;
2025-06-12;4;FC;1;4;Core;
2025-06-12;4;FC;2;0;Core;
2025-06-12;4;FC;3;3;Core;
2025-06-12;4;FC;4;0;Core;
2025-06-12;4;FC;5;0;Core;
2025-06-12;4;BE;1;0;Core;
2025-06-12;4;BE;2;0;Core;
2025-06-12;4;BE;3;0;Core;
2025-06-12;4;BE;4;0;Core;
2025-06-12;4;BE;5;0;Core;
2025-06-12;4;FE;1;0;Core;
2025-06-12;4;FE;2;1;Core;
2025-06-12;4;FE;3;0;Core;
2025-06-12;4;FE;4;1;Core;
2025-06-12;4;FE;5;0;Core;
2025-06-11;5;BE;1;0;Core;
2025-06-11;5;BE;2;0;Core;
2025-06-11;5;BE;3;0;Core;
2025-06-11;5;BE;4;0;Core;
2025-06-11;5;BE;5;0;Core;
2025-06-11;5;FC;1;0;Core;
2025-06-11;5;FC;2;0;Core;
2025-06-11;5;FC;3;0;Core;
2025-06-11;5;FC;4;0;Core;
2025-06-11;5;FC;5;0;Core;
2025-06-11;5;FE;1;0;Core;
2025-06-11;5;FE;2;0;Core;
2025-06-11;5;FE;3;0;Core;
2025-06-11;5;FE;4;0;Core;
2025-06-11;5;FE;5;0;Core;
2025-06-11;5;FO;1;0;Core;
2025-06-11;5;FO;2;0;Core;
2025-06-11;5;FO;3;0;Core;
2025-06-11;5;FO;4;0;Core;
2025-06-11;5;FO;5;0;Core;
2025-06-19;1;FE;1;7;Whole plant;"""LARVAS EN RAIZ (DAÑO)"" EN TODO LA FECHA"
2025-06-19;1;FE;2;1;Whole plant;
2025-06-19;1;FE;3;2;Whole plant;
2025-06-19;1;FE;4;1;Whole plant;
2025-06-19;1;FE;5;1;Whole plant;
2025-06-19;1;BE;1;1;Whole plant;
2025-06-19;1;BE;2;0;Whole plant;
2025-06-19;1;BE;3;3;Whole plant;
2025-06-19;1;BE;4;1;Whole plant;
2025-06-19;1;BE;5;3;Whole plant;
2025-06-19;1;FC;1;0;Whole plant;
2025-06-19;1;FC;2;4;Whole plant;
2025-06-19;1;FC;3;1;Whole plant;
2025-06-19;1;FC;4;5;Whole plant;
2025-06-19;1;FC;5;8;Whole plant;
2025-06-19;1;FO;1;2;Whole plant;
2025-06-19;1;FO;2;3;Whole plant;
2025-06-19;1;FO;3;0;Whole plant;
2025-06-19;1;FO;4;0;Whole plant;
2025-06-19;1;FO;5;0;Whole plant;
2025-06-19;2;FE;1;0;Whole plant;
2025-06-19;2;FE;2;2;Whole plant;
2025-06-19;2;FE;3;2;Whole plant;
2025-06-19;2;FE;4;2;Whole plant;
2025-06-19;2;FE;5;0;Whole plant;
2025-06-19;2;FC;1;1;Whole plant;
2025-06-19;2;FC;2;0;Whole plant;
2025-06-19;2;FC;3;0;Whole plant;
2025-06-19;2;FC;4;0;Whole plant;
2025-06-19;2;FC;5;3;Whole plant;
2025-06-19;2;BE;1;1;Whole plant;
2025-06-19;2;BE;2;0;Whole plant;
2025-06-19;2;BE;3;1;Whole plant;
2025-06-19;2;BE;4;0;Whole plant;
2025-06-19;2;BE;5;3;Whole plant;
2025-06-19;2;FO;1;0;Whole plant;
2025-06-19;2;FO;2;4;Whole plant;
2025-06-19;2;FO;3;0;Whole plant;
2025-06-19;2;FO;4;2;Whole plant;
2025-06-19;2;FO;5;0;Whole plant;
2025-06-19;3;FC;1;6;Whole plant;
2025-06-19;3;FC;2;3;Whole plant;
2025-06-19;3;FC;3;2;Whole plant;
2025-06-19;3;FC;4;2;Whole plant;
2025-06-19;3;FC;5;0;Whole plant;
2025-06-19;3;BE;1;3;Whole plant;
2025-06-19;3;BE;2;1;Whole plant;
2025-06-19;3;BE;3;4;Whole plant;
2025-06-19;3;BE;4;5;Whole plant;
2025-06-19;3;BE;5;4;Whole plant;
2025-06-19;3;FE;1;3;Whole plant;
2025-06-19;3;FE;2;5;Whole plant;
2025-06-19;3;FE;3;10;Whole plant;
2025-06-19;3;FE;4;1;Whole plant;
2025-06-19;3;FE;5;6;Whole plant;
2025-06-19;3;FO;1;2;Whole plant;
2025-06-19;3;FO;2;6;Whole plant;
2025-06-19;3;FO;3;2;Whole plant;
2025-06-19;3;FO;4;8;Whole plant;
2025-06-19;3;FO;5;7;Whole plant;
2025-06-19;4;FO;1;2;Whole plant;
2025-06-19;4;FO;2;5;Whole plant;
2025-06-19;4;FO;3;0;Whole plant;
2025-06-19;4;FO;4;1;Whole plant;
2025-06-19;4;FO;5;0;Whole plant;
2025-06-19;4;FC;1;2;Whole plant;
2025-06-19;4;FC;2;2;Whole plant;
2025-06-19;4;FC;3;0;Whole plant;
2025-06-19;4;FC;4;0;Whole plant;
2025-06-19;4;FC;5;3;Whole plant;
2025-06-19;4;BE;1;2;Whole plant;
2025-06-19;4;BE;2;10;Whole plant;
2025-06-19;4;BE;3;4;Whole plant;
2025-06-19;4;BE;4;1;Whole plant;
2025-06-19;4;BE;5;1;Whole plant;
2025-06-19;4;FE;1;0;Whole plant;
2025-06-19;4;FE;2;1;Whole plant;
2025-06-19;4;FE;3;1;Whole plant;
2025-06-19;4;FE;4;4;Whole plant;
2025-06-19;4;FE;5;2;Whole plant;
2025-06-19;5;BE;1;1;Whole plant;
2025-06-19;5;BE;2;2;Whole plant;
2025-06-19;5;BE;3;5;Whole plant;
2025-06-19;5;BE;4;4;Whole plant;
2025-06-19;5;BE;5;3;Whole plant;
2025-06-19;5;FC;1;3;Whole plant;
2025-06-19;5;FC;2;13;Whole plant;
2025-06-19;5;FC;3;0;Whole plant;
2025-06-19;5;FC;4;3;Whole plant;
2025-06-19;5;FC;5;1;Whole plant;
2025-06-19;5;FE;1;0;Whole plant;
2025-06-19;5;FE;2;0;Whole plant;
2025-06-19;5;FE;3;4;Whole plant;
2025-06-19;5;FE;4;0;Whole plant;
2025-06-19;5;FE;5;4;Whole plant;
2025-06-19;5;FO;1;2;Whole plant;
2025-06-19;5;FO;2;8;Whole plant;
2025-06-19;5;FO;3;1;Whole plant;
2025-06-19;5;FO;4;1;Whole plant;
2025-06-19;5;FO;5;0;Whole plant;
2025-06-30;1;FE;1;0;Whole plant;AUMENTO ADULTOS RECIEN EMERGIDOS EN P1 EN ESTA FECHA
2025-06-30;1;FE;2;2;Whole plant;
2025-06-30;1;FE;3;8;Whole plant;
2025-06-30;1;FE;4;3;Whole plant;
2025-06-30;1;FE;5;1;Whole plant;
2025-06-30;1;BE;1;1;Whole plant;
2025-06-30;1;BE;2;4;Whole plant;
2025-06-30;1;BE;3;9;Whole plant;
2025-06-30;1;BE;4;2;Whole plant;
2025-06-30;1;BE;5;5;Whole plant;+5 ADULTOS RECIEN EMERGIDOS
2025-06-30;1;FC;1;2;Whole plant;
2025-06-30;1;FC;2;3;Whole plant;
2025-06-30;1;FC;3;0;Whole plant;
2025-06-30;1;FC;4;1;Whole plant;
2025-06-30;1;FC;5;3;Whole plant;
2025-06-30;1;FO;1;3;Whole plant;
2025-06-30;1;FO;2;3;Whole plant;
2025-06-30;1;FO;3;2;Whole plant;
2025-06-30;1;FO;4;6;Whole plant;
2025-06-30;1;FO;5;1;Whole plant;
2025-06-30;2;FE;1;0;Whole plant;
2025-06-30;2;FE;2;0;Whole plant;
2025-06-30;2;FE;3;3;Whole plant;
2025-06-30;2;FE;4;3;Whole plant;
2025-06-30;2;FE;5;2;Whole plant;
2025-06-30;2;FC;1;1;Whole plant;
2025-06-30;2;FC;2;0;Whole plant;
2025-06-30;2;FC;3;1;Whole plant;
2025-06-30;2;FC;4;1;Whole plant;
2025-06-30;2;FC;5;0;Whole plant;
2025-06-30;2;BE;1;1;Whole plant;
2025-06-30;2;BE;2;1;Whole plant;
2025-06-30;2;BE;3;0;Whole plant;
2025-06-30;2;BE;4;2;Whole plant;
2025-06-30;2;BE;5;0;Whole plant;
2025-06-30;2;FO;1;6;Whole plant;
2025-06-30;2;FO;2;3;Whole plant;
2025-06-30;2;FO;3;0;Whole plant;
2025-06-30;2;FO;4;0;Whole plant;
2025-06-30;2;FO;5;5;Whole plant;
2025-06-30;3;FC;1;2;Whole plant;
2025-06-30;3;FC;2;3;Whole plant;
2025-06-30;3;FC;3;10;Whole plant;
2025-06-30;3;FC;4;7;Whole plant;
2025-06-30;3;FC;5;5;Whole plant;
2025-06-30;3;BE;1;3;Whole plant;
2025-06-30;3;BE;2;1;Whole plant;
2025-06-30;3;BE;3;10;Whole plant;
2025-06-30;3;BE;4;3;Whole plant;
2025-06-30;3;BE;5;4;Whole plant;
2025-06-30;3;FE;1;5;Whole plant;
2025-06-30;3;FE;2;8;Whole plant;
2025-06-30;3;FE;3;1;Whole plant;
2025-06-30;3;FE;4;7;Whole plant;
2025-06-30;3;FE;5;3;Whole plant;
2025-06-30;3;FO;1;5;Whole plant;
2025-06-30;3;FO;2;9;Whole plant;
2025-06-30;3;FO;3;2;Whole plant;
2025-06-30;3;FO;4;1;Whole plant;
2025-06-30;3;FO;5;5;Whole plant;
2025-06-30;4;FO;1;2;Whole plant;
2025-06-30;4;FO;2;5;Whole plant;
2025-06-30;4;FO;3;2;Whole plant;
2025-06-30;4;FO;4;4;Whole plant;
2025-06-30;4;FO;5;4;Whole plant;
2025-06-30;4;FC;1;2;Whole plant;
2025-06-30;4;FC;2;1;Whole plant;
2025-06-30;4;FC;3;1;Whole plant;
2025-06-30;4;FC;4;3;Whole plant;
2025-06-30;4;FC;5;5;Whole plant;
2025-06-30;4;BE;1;0;Whole plant;
2025-06-30;4;BE;2;4;Whole plant;
2025-06-30;4;BE;3;1;Whole plant;
2025-06-30;4;BE;4;1;Whole plant;
2025-06-30;4;BE;5;1;Whole plant;
2025-06-30;4;FE;1;1;Whole plant;
2025-06-30;4;FE;2;1;Whole plant;
2025-06-30;4;FE;3;1;Whole plant;
2025-06-30;4;FE;4;4;Whole plant;
2025-06-30;4;FE;5;2;Whole plant;
2025-06-30;5;BE;1;12;Whole plant;
2025-06-30;5;BE;2;7;Whole plant;
2025-06-30;5;BE;3;5;Whole plant;
2025-06-30;5;BE;4;6;Whole plant;
2025-06-30;5;BE;5;4;Whole plant;
2025-06-30;5;FC;1;7;Whole plant;
2025-06-30;5;FC;2;3;Whole plant;
2025-06-30;5;FC;3;5;Whole plant;
2025-06-30;5;FC;4;5;Whole plant;
2025-06-30;5;FC;5;5;Whole plant;
2025-06-30;5;FE;1;6;Whole plant;
2025-06-30;5;FE;2;3;Whole plant;
2025-06-30;5;FE;3;8;Whole plant;
2025-06-30;5;FE;4;4;Whole plant;
2025-06-30;5;FE;5;1;Whole plant;
2025-06-30;5;FO;1;4;Whole plant;
2025-06-30;5;FO;2;3;Whole plant;
2025-06-30;5;FO;3;8;Whole plant;
2025-06-30;5;FO;4;11;Whole plant;
2025-06-30;5;FO;5;7;Whole plant;
2025-07-16;1;FE;1;0;Core;
2025-07-16;1;FE;2;0;Core;
2025-07-16;1;FE;3;0;Core;
2025-07-16;1;FE;4;0;Core;
2025-07-16;1;FE;5;0;Core;
2025-07-16;1;BE;1;0;Core;
2025-07-16;1;BE;2;0;Core;
2025-07-16;1;BE;3;1;Core;
2025-07-16;1;BE;4;0;Core;
2025-07-16;1;BE;5;0;Core;
2025-07-16;1;FC;1;0;Core;
2025-07-16;1;FC;2;0;Core;
2025-07-16;1;FC;3;0;Core;
2025-07-16;1;FC;4;0;Core;
2025-07-16;1;FC;5;0;Core;
2025-07-16;1;FO;1;0;Core;
2025-07-16;1;FO;2;0;Core;
2025-07-16;1;FO;3;0;Core;
2025-07-16;1;FO;4;0;Core;
2025-07-16;1;FO;5;0;Core;
2025-07-16;2;FE;1;0;Core;
2025-07-16;2;FE;2;0;Core;
2025-07-16;2;FE;3;1;Core;
2025-07-16;2;FE;4;0;Core;
2025-07-16;2;FE;5;0;Core;
2025-07-16;2;FC;1;0;Core;
2025-07-16;2;FC;2;0;Core;
2025-07-16;2;FC;3;0;Core;
2025-07-16;2;FC;4;0;Core;
2025-07-16;2;FC;5;1;Core;
2025-07-16;2;BE;1;0;Core;
2025-07-16;2;BE;2;0;Core;
2025-07-16;2;BE;3;0;Core;
2025-07-16;2;BE;4;0;Core;
2025-07-16;2;BE;5;0;Core;
2025-07-16;2;FO;1;0;Core;
2025-07-16;2;FO;2;1;Core;
2025-07-16;2;FO;3;0;Core;
2025-07-16;2;FO;4;0;Core;
2025-07-16;2;FO;5;1;Core;
2025-07-16;3;FC;1;0;Core;
2025-07-16;3;FC;2;0;Core;
2025-07-16;3;FC;3;0;Core;
2025-07-16;3;FC;4;0;Core;
2025-07-16;3;FC;5;0;Core;
2025-07-16;3;BE;1;1;Core;
2025-07-16;3;BE;2;1;Core;
2025-07-16;3;BE;3;;Core;Dato no apuntado
2025-07-16;3;BE;4;0;Core;
2025-07-16;3;BE;5;0;Core;
2025-07-16;3;FE;1;1;Core;
2025-07-16;3;FE;2;0;Core;
2025-07-16;3;FE;3;1;Core;
2025-07-16;3;FE;4;1;Core;
2025-07-16;3;FE;5;0;Core;
2025-07-16;3;FO;1;1;Core;
2025-07-16;3;FO;2;0;Core;
2025-07-16;3;FO;3;0;Core;
2025-07-16;3;FO;4;0;Core;
2025-07-16;3;FO;5;0;Core;
2025-07-16;4;FO;1;0;Core;
2025-07-16;4;FO;2;3;Core;
2025-07-16;4;FO;3;0;Core;
2025-07-16;4;FO;4;0;Core;
2025-07-16;4;FO;5;0;Core;
2025-07-16;4;FC;1;0;Core;
2025-07-16;4;FC;2;0;Core;
2025-07-16;4;FC;3;0;Core;
2025-07-16;4;FC;4;0;Core;
2025-07-16;4;FC;5;0;Core;
2025-07-16;4;BE;1;2;Core;
2025-07-16;4;BE;2;0;Core;
2025-07-16;4;BE;3;0;Core;
2025-07-16;4;BE;4;0;Core;
2025-07-16;4;BE;5;0;Core;
2025-07-16;4;FE;1;0;Core;
2025-07-16;4;FE;2;1;Core;
2025-07-16;4;FE;3;1;Core;
2025-07-16;4;FE;4;0;Core;
2025-07-16;4;FE;5;0;Core;
2025-07-16;5;BE;1;0;Core;
2025-07-16;5;BE;2;1;Core;
2025-07-16;5;BE;3;0;Core;
2025-07-16;5;BE;4;1;Core;
2025-07-16;5;BE;5;0;Core;
2025-07-16;5;FC;1;0;Core;
2025-07-16;5;FC;2;1;Core;
2025-07-16;5;FC;3;0;Core;
2025-07-16;5;FC;4;0;Core;
2025-07-16;5;FC;5;0;Core;
2025-07-16;5;FE;1;0;Core;
2025-07-16;5;FE;2;0;Core;
2025-07-16;5;FE;3;0;Core;
2025-07-16;5;FE;4;0;Core;
2025-07-16;5;FE;5;0;Core;
2025-07-16;5;FO;1;2;Core;
2025-07-16;5;FO;2;2;Core;
2025-07-16;5;FO;3;0;Core;
2025-07-16;5;FO;4;0;Core;
2025-07-16;5;FO;5;0;Core;
2025-07-29;1;FE;1;0;Core;
2025-07-29;1;FE;2;0;Core;
2025-07-29;1;FE;3;1;Core;
2025-07-29;1;FE;4;1;Core;
2025-07-29;1;FE;5;0;Core;
2025-07-29;1;BE;1;0;Core;
2025-07-29;1;BE;2;0;Core;
2025-07-29;1;BE;3;1;Core;
2025-07-29;1;BE;4;1;Core;
2025-07-29;1;BE;5;0;Core;
2025-07-29;1;FC;1;0;Core;
2025-07-29;1;FC;2;0;Core;
2025-07-29;1;FC;3;1;Core;
2025-07-29;1;FC;4;0;Core;
2025-07-29;1;FC;5;1;Core;
2025-07-29;1;FO;1;0;Core;
2025-07-29;1;FO;2;0;Core;
2025-07-29;1;FO;3;1;Core;
2025-07-29;1;FO;4;1;Core;
2025-07-29;1;FO;5;0;Core;
2025-07-29;2;FE;1;0;Core;
2025-07-29;2;FE;2;0;Core;
2025-07-29;2;FE;3;1;Core;
2025-07-29;2;FE;4;0;Core;
2025-07-29;2;FE;5;0;Core;
2025-07-29;2;FC;1;0;Core;
2025-07-29;2;FC;2;0;Core;
2025-07-29;2;FC;3;0;Core;
2025-07-29;2;FC;4;0;Core;
2025-07-29;2;FC;5;0;Core;
2025-07-29;2;BE;1;0;Core;
2025-07-29;2;BE;2;0;Core;
2025-07-29;2;BE;3;0;Core;
2025-07-29;2;BE;4;0;Core;
2025-07-29;2;BE;5;0;Core;
2025-07-29;2;FO;1;0;Core;
2025-07-29;2;FO;2;0;Core;
2025-07-29;2;FO;3;0;Core;
2025-07-29;2;FO;4;0;Core;
2025-07-29;2;FO;5;0;Core;
2025-07-29;3;FC;1;0;Core;
2025-07-29;3;FC;2;0;Core;
2025-07-29;3;FC;3;0;Core;
2025-07-29;3;FC;4;0;Core;
2025-07-29;3;FC;5;0;Core;
2025-07-29;3;BE;1;0;Core;
2025-07-29;3;BE;2;0;Core;
2025-07-29;3;BE;3;0;Core;
2025-07-29;3;BE;4;0;Core;
2025-07-29;3;BE;5;0;Core;
2025-07-29;3;FE;1;0;Core;
2025-07-29;3;FE;2;0;Core;
2025-07-29;3;FE;3;0;Core;
2025-07-29;3;FE;4;1;Core;
2025-07-29;3;FE;5;0;Core;
2025-07-29;3;FO;1;0;Core;
2025-07-29;3;FO;2;0;Core;
2025-07-29;3;FO;3;0;Core;
2025-07-29;3;FO;4;0;Core;
2025-07-29;3;FO;5;0;Core;
2025-07-29;4;FO;1;0;Core;
2025-07-29;4;FO;2;0;Core;
2025-07-29;4;FO;3;0;Core;
2025-07-29;4;FO;4;1;Core;
2025-07-29;4;FO;5;0;Core;
2025-07-29;4;FC;1;0;Core;
2025-07-29;4;FC;2;0;Core;
2025-07-29;4;FC;3;1;Core;
2025-07-29;4;FC;4;0;Core;
2025-07-29;4;FC;5;0;Core;
2025-07-29;4;BE;1;0;Core;
2025-07-29;4;BE;2;0;Core;
2025-07-29;4;BE;3;0;Core;
2025-07-29;4;BE;4;0;Core;
2025-07-29;4;BE;5;0;Core;
2025-07-29;4;FE;1;2;Core;
2025-07-29;4;FE;2;0;Core;
2025-07-29;4;FE;3;0;Core;
2025-07-29;4;FE;4;0;Core;
2025-07-29;4;FE;5;1;Core;
2025-07-29;5;BE;1;0;Core;
2025-07-29;5;BE;2;0;Core;
2025-07-29;5;BE;3;0;Core;
2025-07-29;5;BE;4;0;Core;
2025-07-29;5;BE;5;0;Core;
2025-07-29;5;FC;1;0;Core;
2025-07-29;5;FC;2;0;Core;
2025-07-29;5;FC;3;0;Core;
2025-07-29;5;FC;4;1;Core;
2025-07-29;5;FC;5;1;Core;
2025-07-29;5;FE;1;0;Core;
2025-07-29;5;FE;2;0;Core;
2025-07-29;5;FE;3;0;Core;
2025-07-29;5;FE;4;0;Core;
2025-07-29;5;FE;5;0;Core;
2025-07-29;5;FO;1;0;Core;
2025-07-29;5;FO;2;0;Core;
2025-07-29;5;FO;3;0;Core;
2025-07-29;5;FO;4;1;Core;
2025-07-29;5;FO;5;1;Core;
