Date;Sampling;Field;Treatment;Pot;Phylum/ Subphylum;Class/ Subclass;Order/ Suborder;Family/ Subfamily;Genus;Species;Stage;Relative_Abundance;Ponderation;Total_Abundance;Observations
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;115;8;920;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae sp1;;;;3;1;3;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;17;1;17;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;fonscolombii;;2;1;2;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;1;1;1;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;1;1;1;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;1;1;1;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Diptera;Tanypodinae;;;Pupa;1;1;1;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Diptera;Tanypodinae;;;;1;1;1;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;;3;1;3;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Odonata;Aeshnidae;Anax;parthenope;;1;1;1;
2025-06-26;1;2;FO;Pot tot;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;1;1;1;Grandes sin carena
2025-06-26;1;2;FO;Pot tot;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;1;1;1;
2025-06-26;1;2;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;1;1;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;15;4;60;
2025-06-26;1;2;FO;Submuestra;Annelida;Oligochaeta;;;;;;2;4;8;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;;1;4;4;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;10;4;40;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;1;4;4;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;18;4;72;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;2;4;8;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;Pupa;1;4;4;
2025-06-26;1;2;FO;Submuestra;Crustacea;Branchiopoda;Cladocera;Daphniidae;;;;1;4;4;
2025-06-26;1;2;FO;Submuestra;Crustacea;Copepoda;Cyclopoida;;;;;1;4;4;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Heteroptera;Veliidae;Microvelia;pygmaea;;1;4;4;
2025-06-26;1;2;FO;Submuestra;Arthropoda;Insecta;Odonata;Aeshnidae;Anax;imperator;;1;4;4;
2025-06-26;1;2;FO;Submuestra;Crustacea;Ostracoda sp1;;;;;;47;4;188;
2025-06-26;1;2;FO;Submuestra;Crustacea;Ostracoda sp2;;;;;;7;4;28;Largo
2025-06-26;1;2;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;12;4;48;
2025-06-26;1;2;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;1;4;4;
2025-06-26;1;2;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;Planorbis;carinatus;;1;4;4;
2025-06-26;1;2;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;2;4;8;
2025-06-26;1;2;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;;;Pequeños;3;4;12;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;2;1;2;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Diptera;Tanypodinae;;;Pupa;1;1;1;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Diptera;Dolichopodidae;;;;1;1;1;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;13;1;13;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae sp1;;;;1;1;1;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Notonectidae;Anisops;sardeus;;1;1;1;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Adulto;1;1;1;
2025-06-26;1;2;BE;Pot tot;Arthropoda;Insecta;Diptera;Orthocladiinae;;;Pupa;1;1;1;
2025-06-26;1;2;BE;Submuestra;Annelida;Oligochaeta;;;;;;4;4;16;
2025-06-26;1;2;BE;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;;1;4;4;
2025-06-26;1;2;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;9;4;36;
2025-06-26;1;2;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;2;4;8;
2025-06-26;1;2;BE;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;3;4;12;
2025-06-26;1;2;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;2;4;8;
2025-06-26;1;2;BE;Submuestra;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;1;4;4;
2025-06-26;1;2;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;5;4;20;
2025-06-26;1;2;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;4;4;16;
2025-06-26;1;2;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;;;Pequeños;6;4;24;
2025-06-26;1;2;BE;Submuestra;Crustacea;Ostracoda sp1;;;;;;27;4;108;
2025-06-26;1;2;BE;Submuestra;Crustacea;Ostracoda sp2;;;;;;5;4;20;
2025-06-26;1;3;FO;Pot tot;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;fonscolombii;;6;1;6;
2025-06-26;1;3;FO;Pot tot;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;2;1;2;
2025-06-26;1;3;FO;Pot tot;Arthropoda;Insecta;Diptera;Tanypodinae;;;;1;1;1;
2025-06-26;1;3;FO;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;;6;1;6;
2025-06-26;1;3;FO;Pot tot;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;1;1;1;
2025-06-26;1;3;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;1;1;
2025-06-26;1;3;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;sp;Adulto;2;1;2;
2025-06-26;1;3;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;21;8;168;
2025-06-26;1;3;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;22;8;176;
2025-06-26;1;3;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;Planorbis;carinatus;;1;8;8;
2025-06-26;1;3;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;6;8;48;
2025-06-26;1;3;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;;;Pequeños;29;8;232;
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;60;8;480;
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;;2;8;16;
2025-06-26;1;3;FO;Submuestra;Annelida;Oligochaeta;;;;;;4;8;32;
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;Pupa;2;8;16;
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;3;8;24;
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;Pupa;2;8;16;
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;1;8;8;
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Diptera;;;;Pupa sp1;1;8;8;Estuche ovalado, amarillento sin protuberancias
2025-06-26;1;3;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;1;8;8;
2025-06-26;1;3;FO;Submuestra;Crustacea;Ostracoda sp1;;;;;;15;8;120;
2025-06-26;1;3;FO;Submuestra;Crustacea;Ostracoda sp2;;;;;;3;8;24;
2025-06-26;1;3;FO;Submuestra;Crustacea;Ostracoda sp3;;;;;;6;8;48;Redondo
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;fonscolombii;;3;1;3;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Diptera;Stratiomyidae;;;;1;1;1;
2025-06-26;1;3;BE;Pot tot;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;3;1;3;
2025-06-26;1;3;BE;Pot tot;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;1;1;1;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Adulto;1;1;1;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;sp;Adulto;1;1;1;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;3;1;3;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;;Larva;4;1;4;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;sp;Larva;4;1;4;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Diptera;Ephydridae;;;Pupa;3;1;3;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;3;1;3;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;;1;1;1;
2025-06-26;1;3;BE;Pot tot;Arthropoda;Insecta;Diptera;Culicinae;;;;1;1;1;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Diptera;Culicinae;Culex;sp;;3;8;24;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;10;8;80;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;Pupa;1;8;8;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Adulto;1;8;8;
2025-06-26;1;3;BE;Submuestra;Annelida;Oligochaeta;;;;;;1;8;8;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Diptera;Ceratopogoninae;;;;1;8;8;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;1;8;8;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;;Larva;3;8;24;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;sp;Larva;6;8;48;
2025-06-26;1;3;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;Planorbis;carinatus;;3;8;24;
2025-06-26;1;3;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;6;8;48;
2025-06-26;1;3;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;;;Pequeños;12;8;96;
2025-06-26;1;3;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;26;8;208;
2025-06-26;1;3;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;49;8;392;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;145;8;1160;
2025-06-26;1;3;BE;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;2;8;16;
2025-06-26;1;3;BE;Submuestra;Crustacea;Ostracoda sp1;;;;;;7;8;56;
2025-06-26;1;3;BE;Submuestra;Crustacea;Ostracoda sp2;;;;;;9;8;72;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;fonscolombii;;3;1;3;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Diptera;Ephydridae;;;;13;1;13;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;14;1;14;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Diptera;Ceratopogoninae;;;;2;1;2;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;;Larva;3;1;3;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;1;1;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Diptera;Dolichopodidae;;;;1;1;1;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Diptera;Ephydridae;;;Pupa;1;1;1;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Diptera;Ceratopogoninae;;;;1;1;1;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Diptera;Tabanidae;;;;1;1;1;
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae sp2;;;;1;1;1;Rallado, buen estado
2025-06-26;1;4;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;1;1;1;
2025-06-26;1;4;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;5;4;20;
2025-06-26;1;4;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Adulto;1;4;4;
2025-06-26;1;4;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;4;4;
2025-06-26;1;4;BE;Submuestra;Annelida;Oligochaeta;;;;;;2;4;8;
2025-06-26;1;4;BE;Submuestra;Arthropoda;Insecta;Diptera;Ephydridae;;;;1;4;4;
2025-06-26;1;4;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;5;4;20;
2025-06-26;1;4;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;12;4;48;
2025-06-26;1;4;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;;;Pequeños;2;4;8;
2025-06-26;1;4;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;51;4;204;
2025-06-26;1;4;BE;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;8;4;32;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;;Larva;2;1;2;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Diptera;Ephydridae;;;;11;1;11;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;2;1;2;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Diptera;Ceratopogoninae;;;Pupa;2;1;2;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae sp1;;;;1;1;1;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;12;1;12;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Diptera;Tabanidae;;;;3;1;3;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Diptera;Muscidae;;;;2;1;2;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Diptera;Muscidae;;;Pupa;1;1;1;
2025-06-26;1;4;FO;Pot tot;Arthropoda;Insecta;Diptera;Tabanidae;;;Pupa;1;1;1;
2025-06-26;1;4;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;28;4;112;
2025-06-26;1;4;FO;Submuestra;Annelida;Oligochaeta;;;;;;3;4;12;
2025-06-26;1;4;FO;Submuestra;Arthropoda;Insecta;Diptera;Ceratopogoninae;;;Pupa;1;4;4;
2025-06-26;1;4;FO;Submuestra;Arthropoda;Insecta;Diptera;Ephydridae;;;;1;4;4;
2025-06-26;1;4;FO;Submuestra;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;;Larva;4;4;16;
2025-06-26;1;4;FO;Submuestra;Crustacea;Ostracoda sp1;;;;;;3;4;12;
2025-06-26;1;4;FO;Submuestra;Crustacea;Ostracoda sp2;;;;;;2;4;8;
2025-06-26;1;4;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;Planorbis;carinatus;;2;4;8;
2025-06-26;1;4;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae sp1;;;;1;4;4;
2025-06-26;1;4;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Planorbidae;;;Pequeños;2;4;8;
2025-06-26;1;4;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;15;4;60;
2025-06-26;1;4;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;8;4;32;
2025-06-26;1;5;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Larva;10;1;10;
2025-06-26;1;5;FO;Pot tot;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;fonscolombii;;5;1;5;
2025-06-26;1;5;FO;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;3;1;3;
2025-06-26;1;5;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;1;1;
2025-06-26;1;5;FO;Pot tot;Arthropoda;Insecta;Diptera;Tanypodinae;;;;3;1;3;
2025-06-26;1;5;FO;Submuestra;Annelida;Oligochaeta;;;;;;3;4;12;
2025-06-26;1;5;FO;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;Pupa;1;4;4;
2025-06-26;1;5;FO;Submuestra;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;2;4;8;
2025-06-26;1;5;FO;Submuestra;Arthropoda;Insecta;Heteroptera;Veliidae;Microvelia;pygmaea;;1;4;4;
2025-06-26;1;5;FO;Submuestra;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;;Larva;1;4;4;
2025-06-26;1;5;FO;Submuestra;Crustacea;Ostracoda sp1;;;;;;13;4;52;
2025-06-26;1;5;FO;Submuestra;Crustacea;Ostracoda sp2;;;;;;3;4;12;
2025-06-26;1;5;FO;Submuestra;Crustacea;Ostracoda sp3;;;;;;1;4;4;
2025-06-26;1;5;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;1;4;4;
2025-06-26;1;5;FO;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;2;4;8;
2025-06-26;1;5;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;32;4;128;
2025-06-26;1;5;FO;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;23;4;92;
2025-06-26;1;5;FO;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;;19;4;76;
2025-06-26;1;5;BE;Pot tot;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;fonscolombii;;10;1;10;
2025-06-26;1;5;BE;Pot tot;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;;1;1;1;
2025-06-26;1;5;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;1;1;
2025-06-26;1;5;BE;Pot tot;Arthropoda;Insecta;Diptera;Tanypodinae;;;Pupa;1;1;1;
2025-06-26;1;5;BE;Pot tot;Arthropoda;Insecta;Diptera;Tanypodinae;;;;2;1;2;
2025-06-26;1;5;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;sp;Larva;1;1;1;
2025-06-26;1;5;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;1;1;1;
2025-06-26;1;5;BE;Pot tot;Arthropoda;Insecta;Diptera;Culicinae;Culex;sp;;1;1;1;
2025-06-26;1;5;BE;Submuestra;Nematoda;;;;;;;2;4;8;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Heteroptera;Veliidae;Microvelia;pygmaea;;1;4;4;
2025-06-26;1;5;BE;Submuestra;Annelida;Oligochaeta;;;;;;6;4;24;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Larva;1;4;4;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Diptera;Culicinae;Culex;sp;;2;4;8;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;Pupa;1;4;4;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;sp;Larva;1;4;4;
2025-06-26;1;5;BE;Submuestra;Crustacea;Ostracoda sp1;;;;;;6;4;24;
2025-06-26;1;5;BE;Submuestra;Crustacea;Ostracoda sp3;;;;;;3;4;12;
2025-06-26;1;5;BE;Submuestra;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;;2;4;8;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;;18;4;72;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;13;4;52;
2025-06-26;1;5;BE;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;4;4;16;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Adulto;18;1;18;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Odonata;Aeshnidae;Anax;imperator;;2;1;2;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Notonectidae;Anisops;sardeus;;2;1;2;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Notonectidae;;;Pequeños;37;1;37;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Gerridae;Gerris;sp;;3;1;3;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae;;;Pequeños;10;1;10;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;3;1;3;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Veliidae;Microvelia;pygmaea;;4;1;4;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae sp1;;;;3;1;3;
2025-07-23;2;1;BE;Pot tot;Annelida;Oligochaeta;;;;;;1;1;1;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;sp;Larva;1;1;1;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;3;1;3;
2025-07-23;2;1;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;signatellus;Adulto;1;1;1;
