Date;Field;Treatment;Repeat;Root_weight;N_larvae;Observations
2025-06-30;2;BE;4;1,23;;NO SE PUEDEN ASOCIAR LAS LARVAS A ESTE PESO (APUNTADO EN ORDEN EQUIVOCADO)
2025-06-30;2;BE;5;0,58;;NO SE PUEDEN ASOCIAR LAS LARVAS A ESTE PESO (APUNTADO EN ORDEN EQUIVOCADO)
2025-06-30;2;FO;1;4,63;6;
2025-06-30;2;FO;2;1,59;3;
2025-06-30;2;FO;3;2,92;0;
2025-06-30;2;FO;4;0,85;0;
2025-06-30;2;FO;5;1,16;5;
2025-06-30;3;FC;1;1,03;2;
2025-06-30;3;FC;2;0,84;3;
2025-06-30;3;FC;3;1,85;10;
2025-06-30;3;FC;4;2,3;7;
2025-06-30;3;FC;5;2,1;5;
2025-06-30;3;BE;1;0,67;3;
2025-06-30;3;BE;2;1,8;1;
2025-06-30;3;BE;3;6,1;10;
2025-06-30;3;BE;4;1,09;3;
2025-06-30;3;BE;5;1,49;4;
2025-06-30;3;FE;1;1,13;5;
2025-06-30;3;FE;2;1,19;8;
2025-06-30;3;FE;3;4,9;1;
2025-06-30;3;FE;4;1,12;7;
2025-06-30;3;FE;5;1,18;3;
2025-06-30;3;FO;1;1,76;5;
2025-06-30;3;FO;2;2,64;9;
2025-06-30;3;FO;3;0,47;2;
2025-06-30;3;FO;4;1,16;1;
2025-06-30;3;FO;5;1,38;5;
2025-06-30;4;FO;1;0,25;2;
2025-06-30;4;FO;2;1,5;5;
2025-06-30;4;FO;3;1,1;2;
2025-06-30;4;FO;4;0,7;4;
2025-06-30;4;FO;5;1,14;4;
2025-06-30;4;FC;1;1,64;2;
2025-06-30;4;FC;2;0,47;1;
2025-06-30;4;FC;3;0,42;1;
2025-06-30;4;FC;4;1,06;3;
2025-06-30;4;FC;5;0,95;5;
2025-06-30;4;BE;1;1,13;0;
2025-06-30;4;BE;2;0,99;4;
2025-06-30;4;BE;3;0,57;1;
2025-06-30;4;BE;4;1,61;1;
2025-06-30;4;BE;5;0,88;1;
2025-06-30;4;FE;1;1,78;1;
2025-06-30;4;FE;2;0,36;1;
2025-06-30;4;FE;3;1,95;1;
2025-06-30;4;FE;4;1,66;4;
2025-06-30;4;FE;5;0,8;2;
2025-06-30;5;BE;1;1,93;12;
2025-06-30;5;BE;2;1,45;7;
2025-06-30;5;BE;3;0,79;5;
2025-06-30;5;BE;4;0,74;6;
2025-06-30;5;BE;5;0,74;4;
2025-06-30;5;FC;1;0,72;7;
2025-06-30;5;FC;2;2,04;3;
2025-06-30;5;FC;3;0,55;5;
2025-06-30;5;FC;4;0,3;5;
2025-06-30;5;FC;5;0,71;5;
2025-06-30;5;FE;1;1,49;6;
2025-06-30;5;FE;2;0,73;3;
2025-06-30;5;FE;3;0,67;8;
2025-06-30;5;FE;4;0,8;4;
2025-06-30;5;FE;5;0,4;1;
2025-06-30;5;FO;1;0,54;4;
2025-06-30;5;FO;2;0,7;3;
2025-06-30;5;FO;3;0,68;8;
2025-06-30;5;FO;4;0,84;11;
2025-06-30;5;FO;5;1,23;7;
